장소,자동차정비업체종류,도로명주소,위도,경도,전화번호
Tstation전남대점,3,광주광역시 북구 용봉로 50(신안동),35.17145896,126.902507,062-430-2002
각화정비검사(주),2,"광주광역시 북구 동문대로266번길 40, 404동(각화동)",35.18424829,126.9372133,062-572-2014
강대원카,3,광주광역시 북구 참판로 154(두암동),35.17141339,126.9336202,062-572-4944
강산모터스,3,광주광역시 북구 연양로95번길 9(양산동),35.20753178,126.8779195,062-572-8833
건국카클리닉,3,광주광역시 북구 하서로 553(본촌동),35.2234926,126.8809658,062-522-0868
경전카공업사,3,광주광역시 북구 무등로262번길 17(중흥동),35.16258838,126.9118654,062-527-2312
계림카센타,3,광주광역시 북구 경양로183번길 18(중흥동),35.16069114,126.9116607,062-266-7610
고려유통,3,광주광역시 북구 설죽로 174(용봉동),35.17520653,126.8966319,062-571-4320
고흥카써비스,3,광주광역시 북구 면앙로 192(두암동),35.17518408,126.932563,062-513-7741
공단카크리닉,3,광주광역시 북구 하서로216번길 2(양산동),35.19448874,126.8773657,
공임나라 운암점,3,광주광역시 북구 비엔날레로 54-6(운암동),35.17665999,126.8891184,
광남자동차공업사,1,광주광역시 북구 하서로 652-7(지야동),35.23148715,126.8875064,062-526-1247
광신자동차정비공업사,2,"광주광역시 북구 무등로111번길 30, 외3필지(신안동)",35.16871887,126.8974235,062-361-7474
광일카센터,3,광주광역시 북구 삼소로 398(월출동),35.24269258,126.8778087,062-528-8966
광주용달협회정비사업부,3,광주광역시 북구 독립로349번길 50(중흥동),35.16287652,126.9124454,062-961-7422
광주카모터스,3,광주광역시 북구 자동차로48번길 50(신안동),35.16273613,126.9040491,062-527-9314
광주카서비스,3,광주광역시 북구 제봉로 302-1(중흥동),35.16147272,126.910444,062-527-9728
광주카서비스,3,광주광역시 북구 중가로 97-4(중흥동),35.15835835,126.9108132,062-512-5850
광주카센타,3,광주광역시 북구 무등로180번길 11(신안동),35.16506938,126.903255,062-531-3111
그린카서비스,3,광주광역시 북구 용봉로 56(신안동),35.17151093,126.9030158,
글로벌모터스,3,광주광역시 북구 양산택지로 40(양산동),35.20983531,126.8800281,
금동현대소형공업사,2,"광주광역시 북구 설죽로 623, 313동 2층(일곡동)",35.21526472,126.8976397,062-529-8601
금오오토자동차공업사,3,광주광역시 북구 용봉로 102(중흥동),35.1723285,126.9077555,062-521-8585
금일카종합센타,3,광주광역시 북구 서암대로132번길 5(신안동),35.16970198,126.8987115,062-526-4480
금호부분정비공업사,3,광주광역시 북구 용봉로 110(중흥동),35.1723614,126.9087519,062-269-4700
금호카월드,3,광주광역시 북구 태봉로 37-6(임동),35.16163709,126.9032478,
기능장모터스,3,광주광역시 북구 북문대로 193(동림동),35.18551435,126.8700526,062-574-0488
기아오토큐양산점,3,광주광역시 북구 하서로 381(양산동),35.20895509,126.8735105,062-523-4646
김스오토케어,3,광주광역시 북구 하남대로 629(동림동),35.17243885,126.8615298,062-265-3211
나의 자동차,3,광주광역시 북구 양산택지로 149(본촌동),35.217213,126.8788369,
남광카센타,3,광주광역시 북구 경양로119번길 10-10(신안동),35.16169696,126.9061374,062-430-2840
남양자동차공업사,3,광주광역시 북구 송해로 10(삼각동),35.19958863,126.9017134,062-652-3456
남일자동차공업사,3,광주광역시 북구 무등로262번길 16(중흥동),35.16275078,126.9114581,
노르딕,3,광주광역시 북구 무등로 272-7(중흥동),35.16272329,126.9129543,062-523-2705
뉴동광카프라자,3,광주광역시 북구 본촌마을길 98(본촌동),35.21974235,126.8795055,062-523-7454
뉴선일공업사,2,광주광역시 북구 무등로262번길 32(중흥동),35.16209753,126.9111593,062-261-8297
뉴오정헤드,3,광주광역시 북구 서림로81번길 11(임동),35.16480161,126.8965211,062-512-3611
다이알자동차공업사,3,광주광역시 북구 금호로 112(운암동),35.17636982,126.8831453,062-266-4783
달구지모터스,3,광주광역시 북구 독립로367번길 15(중흥동),35.16332305,126.9144607,062-526-7928
달구지카사랑,3,광주광역시 북구 군왕로 104(두암동),35.17056742,126.9328761,062-522-1155
달려라경정비,3,광주광역시 북구 경열로212번길 4(유동),35.1582164,126.9064173,
대광공업사,3,광주광역시 북구 우치로275번길 50(오치동),35.18954973,126.9027437,062-261-9060
대광종합카센터,3,광주광역시 북구 버들로 19(유동),35.15817793,126.9094109,062-264-2216
대도모터스,3,광주광역시 북구 무등로 247(중흥동),35.16416914,126.9105729,062-572-3267
대명써비스,3,광주광역시 북구 중가로 82-1(중흥동),35.15846548,126.9089417,062-523-8815
대산카프라자,3,광주광역시 북구 면앙로139번길 22(두암동),35.17743705,126.9278999,062-529-9022
대성모터스 손세차,3,광주광역시 북구 연양로105번길 30(양산동),35.20894616,126.8801506,062-572-0061
대성카센타,3,광주광역시 북구 천지인로 79(오치동),35.18439968,126.9073801,062-523-2994
대승자동차공업사,3,광주광역시 북구 용봉로 38-1(신안동),35.17148286,126.9011949,062-523-0355
대신자동차공업사,3,광주광역시 북구 서암대로131번길 6(신안동),35.17046776,126.8990129,
대양자동차공업사,3,광주광역시 북구 용봉로 42-1(신안동),35.17149906,126.9018272,062-953-8353
대왕자동차정비서비스,3,광주광역시 북구 하서로672번길 18-7(지야동),35.23303324,126.8898689,
